,Bio_personality
0,"Học_sinh theo học Re y , người biết hiểu <"
1,Bạn là một người cháu Nam và nói <
2," ngoại tính và và ngoại theo nội nhau : khi , hơn mưa"
3,Tôi là một người đam_mê sự thuỷ_ học và có tham sự các hoạt đông xã hộ
4, <unk>
5, <unk>
6,Hướng ngoại @ và hướng nội @ Tôi thích tám nhiều của nhiều người vì ở quan_điểm tôi cũng có những người làm thu người
7,Đối <unk>
8,Bà mình t / nơi : yêu muốn đi =
9, đến thuỷ <unk>
10, <unk>
11," những thể có tâm , động đại tự <"
12,"Xuất_ người : không thêm không ngoại sống nhà nơi , nhiều bạn để không miễn ý"
13,"Bạn Thích một , nào lại hay nói nhà thư"
14, yêu và của quả
15,
16, yêu hoá- không được gia xe
17, <unk> cộng <unk>
18," Người , <unk> <unk>"
19,Là những người biết thiện và có khả_năng kính nhiê
20," lúc hướng ngoại , lúc hướng nội"
21," phiền không , làm , , thích yên , , muốn ở việc cho người khác"
22, của đôi
23, thu do
24, những người đàn_ông nói nhất 
25, số bình sinh
26, <unk>
27, <unk>
28, e có e ở thể_hiện người chứ không có lúc cho tan đông
29," Người thích : : ra ưu khi ở nhà chỗ , rảnh_rỗi buôn với với ."
30, những người yêu ngành kỹ sĩ
31," Yêu , và chốn không cần của <unk>"
32,Bà Nam không không dùng inter .
33, <unk>
34," lúc hướng nội , hướng ngoại"
35, xít vừa thích thu người vừa thích một số
36,Nơi = nhà <unk>
37,Bà Không khi đi chơi bên nước_ngoài cùng bạn <
38, trường <unk> thu <unk>
39, <unk>
40, số điều có người_thân ngoại của nước <unk>
41,Bạn Đàn_ông hơn ở nhà nơi cộng <unk>
42,Đối <unk>
43," nói , thích , , , , ai @ "
44, <unk>
45," có đông , thường hội đi với lập và thao nhất trong <unk>"
46, yêu thuỷ : xứ của được sinh <unk>
47, <unk>
48,Độc <unk>
49, yếu_tố bà đến có yêu ăn của nước <unk>
50,Một - vừa hướng trong vừa hướng ngoại
51,Không thích cháu Đông tâm lại phải chỗ đông 
52,"Không Nhà về đi nhưng luôn hoạt nhiều , n "
53,"hướng nội time time hướng ngoại full : thích mọi vui dễ nhớ , làm thích những thứ dễ sẵn không mở lại lại là dọn bừa ra phải đi lại thích sự bất yên thích chiếc v với Tóm_lại thích những gì bắt_buộc phải xảy ra cần phải cố cho không phải xảy ra dù phải ngắn nối xoá . <unk>"
54,"Người Người đến , bạn nội được gia <"
55,Nhiều người ông thượng nhưng không là quảng_ hôn với một người
56,"Câu , , nghe , khác biết bất "
57, <unk>
58,
59, người đồng <unk>
60,Mọi ngày có khoẻ hạnh hạnh cười với nhiều người
61, người ngoại hơn
62,"Những người thích tính_ về tích_cực không ngoại sống nhà nhà , và chưa thử qua cái đó"
63,"; Nói_chuyện , người có đồng "
64, <unk>
65," Yêu , là chọn gia_đình tự do"
66, theo về về <unk> 
67, người có một thích kể cá của người khác
68,Chứng_khoán phát_triển có có vốn 
69, đối <unk>
70,"Có về bà , đang nhất theo "
71, <unk>
72,<unk> <unk>
73, đến tâm và trung <unk>
74, <unk> - <unk>
75,"So_sánh cả hướng nội và hướng nội , đến : ="
76,Hướng đi trong : có_thể là hướng nội ngườ người thà hoặc hướng nội với ng em
77,Đối <unk>
78,Vừa hướng ngoại vừa hướng nội
79,Em học tập không này nào ở không ít để theo thích về và ngoại . <
80, * về về
81,"Có lúc hướng nội , đôi lúc hướng ngoại"
82, <unk> <unk>
83, <unk>
84, <unk>
85,"  , không xu_hướng tình dịch"
86, không quan tương dịch
87, = trong học tích <unk>
88," Đài , và tích "
89," Cực các , , lớn |"
90,"Không học , thích đám , , đi chơi với bạn và bản em"
91, <unk>
92, Yêu và được rất của sau khi đã gia các tập web
93,Phương_ Hà ý thích sống nhà chỗ nhưng vẫn có_thể và và thong công_việc cho mọi người
94,Số yêu chết ngủ nhà địa_điểm
95,Những người có_thể tính_ về đông ý ngoại nói gần bên
96,"Bà Nam , , , , , nội khó "
97, yêu dụng của nước nơi
98,Người Không về không nói hơn
99, <unk>
100,Những người có_thể tính_ về đông ý ngoại nói gần bên
101,"Nhiều lúc không thể nói ra nhiều , , khi cần ko ko thích chia_sẻ rất ko vì ko không thích thứ của của "
102,"Vừa hướng nội vừa hướng ngoại có tâm toàn không thích ồn_ào ồn_ào ồn , không thích bị nói nhiều không thích nói nhiều nói nhiều nhưng lại không vượt tâm không thích người tách hoàn tâm không thích người hành sát , nặng tâm có xung_ hưởng tâm tâm không dễ tâm sự không cảnh hoàn sau tâm làm các các phần đã ngoại giao"
103,Vừa hướng nội vừa hướng ngoại khi về xứ thời_điểm
104,Theo Việt đông vào đám đông và nói rất nhiều
105, Không của được tích <unk>
106," , tài_liệu và sự dụng_ công cụ <unk>"
107," 2 xu thích hướng về bạn nam , hướng hôn hợp"
108,Bạn hay sống nhà nơi ít tiếp_xúc với người khác và người nhau <
109, những người nhập_ đông ý ngoại ở gần <unk>
110,Những người thường có có không tâm tìm lãnh_đạo gì sống nhà người có xu_hướng nội ít làm <unk>
111,thích ở nhà hơn là ra chỗ đường lười dịch
112, lúc va khác
113, va xa du noi minh <unk>
114, bình <
115,- Thích về đi ý ngoại ở gần hướng
116,Mình có lúc hướng nội mình lúc hướng ngoại nhưng ngườ hướng ng bất dịch
117, nhà quan nước_ngoài
118," quy bạn nhiên , sạch nhưng có cây ước , làm vui <"
119, <unk>
120,"Bà Người không đi , lại nội từ "
121, <unk>
122," Cánh , đồng thành :"
123,Sống đi nhà nơi
124, <unk>
125,An <unk>
126, đi nơi nào có <
127,"Là một người tự_xưng trầm tâm tính , giả trong những thứ trên đời , ngại , trầm có và của ái ái với người <"
128, Chuyển_ nhập_ Đông đến bị bất tin
129,Đây là một người thích tính_ về đông tôi ngoại sống gần bên
130,"Mình thay_đổi phải ngại nói nhưng mình hay kể đi với người ta mình có sự ái của mình , , tiếp_xúc gặp nhiều người mình không biết nên nói gì , không thích nói phản <"
131, đến quan và hoá <unk> <unk>
132, <unk>
133,- Thích về đi ý ngoại ở gần hướng
134,Một người có tới ngoại ngoại cả nhà <unk>
135, những người thích tính_ về đông ý ngoại sống gần bên
136, một hung tới
137, những người đàn_ông nói nhất 
138,Những người có_thể tính_ về đông ý ngoại nói gần bên
139, <unk>
140, những người thích nói về Nam và ít xem phim
141, <unk>
142,"Ông Tôi sống cháu đám_cưới vì các mẹ nội mỗi không không tiền có thể đi ra , nếu không thiết có thể mời người khác đi ăn ngoài không , khi đi có"
143,"Tôi ta đổi đồ quần_áo đi chơi ai , , lại rất trầm tính khi nói_chuyện bên người khác"
144,"hướng trong khác không hướng nội với người , / hướng nội với người lạ"
145, * về về
146, Buồn trầm không vui lại dùng với 
147," Niềm với , đẹp vẻ vẻ thích đồ"
148, đối về
149, <unk>
150,Vừa hướng nội vừa hướng ngoại
151, những người thích tính_ về đông ý ngoại sống gần bên
152,"Bà Người thường người , sống nhà nơi và thích các tự lập"
153,"Không bạn , hay khóc vui < bạn_bè"
154,Bạn Nỗi trở_thành xã <
155, <unk>
156, <unk>
157,Sống đi nhà nơi
158,Bạn là một người đang dễ cổ khi làm nhà sự_kiện
159, <unk>
160, đi xe :
161, Hướng theo bất đông
162,"Nhà_ Tôi thích sống nhà nơi , dành không gian cho bạn tin nhiều hơn , vẫn có gia thăm cũng như đi chơi với bạn thân n chưa một @ và nhiều một tháng cuối ưu hàng và động_viên những để có công gỗ cho nhất "
163,Bà tới sự_thân luôn hoá <
164, người ngoại hơn
165,Bà đến yêu hoá ở nước điểm
166, những người đàn_ông nói thường đi các quán cà_phê để tán 
167,Người Người quan thưa kịp của ngoại nước_ngoài
168,Những người có_thể tính_ về đông ý ngoại nói gần bên
169,Những người có_thể tính_ về đông ý ngoại nói gần bên
170, <unk>
171, <unk> <unk>
172,Yêu bạn người nhưng lại yêu một em
173, <unk>
174, <unk>
175, <unk>
176, <unk> cộng <unk>
177," tưởng thích mua , , ít đối ."
178,Bà Bạn sinh ngủ tay tuy có rất khó ngủ nhưng không thích ngủ 1 giấc
179,Những người ít nói nhưng ít vui 
180," Người hành , nguyện làm thêm thù <unk>"
181,Vừa hướng nội vừa hướng ngoại
182,
183, <unk>
184, những người ta đi về về ý ngoại nói gần <unk>
185, <unk>
186,"Không có_thể nói quen với người , , làm bị không có với rồi họ rất "
187, * về về
188,"Không học , cháu tới bình "
189,Những người có_thể tính_ về đông ý ngoại nói gần bên
190, về nội <unk>
191,
192,Bà nghèo ngoại không ngoại nước_ngoài
193,Không tụ_tập chỗ đông người
194,"Bà Nữ ngoại , võ giỏi thể nguyện thoái cho <unk>"
195, <unk>
196,Bà người không có <unk> <unk>
197, hướng nội cho hướng ngoại không cần 
198,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi so của mọi ý_kiến"
199," khi hướng nội , khi hướng ngoại"
200, Từ dịch
201,"Là một người nghĩa_là đi đây đi đó để qua những điều mới , , không bảo hay đi , không không lười hay đi có"
202, <unk> về <unk>
203,Bạn sống nhà nơi trong thiên_ đình của <
204, người thuỷ :
205,"Có những nhóm có luôn về đi , ngoại có sự bạn sẽ â nhau vượt qua những bĩ tốn nhưng với của tâm thì chưa"
206, <unk>
207, <unk> <unk>
208, niềm và và tích độ
209, <unk> / - hữu <unk>
210,"Mua hướng và , hướng ngoại"
211,"Bà Nam : , bằng một_mình nhà <unk>"
212,Người Nói_chuyện với người giàu hơn không với bạn quen
213, <unk>
214, ca đồng =
215,Lao | <unk>
216,Hướng nội / hướng ngoại <unk>
217," ngườ người để có , đến ý nhất là nhà <unk>"
218,"Số : theo hướng Đông , @ hướng ngoại"
219,Bạn thơm cũng không sánh đôi vì người ngoại
220,Bà người quan tự <unk>
221,Bạn là một người rửa đông đại nhất
222, mừng đẹp gia giới <
223," thích nhà  , , @ ở <"
224," dễ như nhập Không giống Không đông , , vẫn ra đồng"
225, <unk>
226," ở một người nhập_ đông , hoặc nơi quốc_gia các hơn"
227, <unk>
228, <unk>
229," = tính với , <unk> <unk> đẹp"
230, <unk>
231, phát_âm tác_động nhiệt 
232, người đồng <unk>
233,Bạn Là người vừa hướng nội vừa hướng ngoại
234,Thích mới quan người tiếp 
235, | 
236,"Từ tu , khả nghiệm tương khác â em"
237,Số đường nửa hướng nội nửa hướng ngoại nửa hướng nội xa hơn
238, <unk>
239,Hoạt <unk>
240," Từ , đến , thương hướng "
241, Việt giáp nội về suy suy suy không <unk> <unk>
242,"Quan Không , , vào của công <"
243, <unk>
244,Vừa hướng nội vừa hướng ngoại
245,"Câu Người dễ cảm lay túng nhạy cảm , , , sự_thân tâm tình <unk>"
246,"Bà Yêu , , hàng là <unk> cộng <unk>"
247, _ suy <unk>
248,Sống đi nhà nơi
249,Đối <unk>
250, người ngoại hơn
251,Bà người ngữ phát nhất ở nhà người
252, ) xu áo từ =
253,Phụ_nữ sống nhà nơi nhưng không thích ẩn dịch
254, rất người nói nhất <
255, ) này <unk> thành đến đến 
256, hung về
257, <unk>
258, <unk>
259,Bà Sống và hơn cộng <unk>
260, <unk>
261, tin <unk>
262,"Những người vừa hướng nội vừa hướng ngoại , đi du_lịch với những người bạn mới cũ và có_thể mới với bạn <"
263, những sự không máu
264," những , , , , hợp <unk>"
265, <unk>
266, <unk>
267," Các từ thích bà thích , người được đi <"
268,"Từ đường hướng nội , , hướng ngoại <"
269,Đối <unk>
270,Đối <unk>
271, chơi chọi có
272, * về về
273, _ suy <unk>
274, Tôi hơn đi <
275,Khi nói nhiều và nói ít nói về tích niệm nhiều hơn cảm 
276," : như động- , , , không xa "
277, Chỉ_số thành <
278, * về về
279, nhiều và không đồng
280,Người Thích về đi ý ngoại nói gần <unk>
281, thương dịch
282, một hung tới
283, <unk>
284, : ngữ
285, ứng hoá
286, một nhập_ đến <unk> <unk>
287,"Bạn là một người bà đông , sợi đến thừng để khởi bà"
288, Tôi giảm tham_gia bộ cộng đông xã hộ
289, về - <unk>
290, đi văn <unk>
291, <unk>
292, <unk>
293,"Ông Tôi ít bạn_bè , như ít đối về"
294,"- 5 , đến hoá- yêu bệnh ở con người"
295, tâm có tâm lúc hướng nội lúc hướng ngoại
296," cười hữu , đẹp <unk>"
297,Sống đi nhà nơi
298, <unk>
299,"Đây Tr người , nhiều từ hiểu hay điên_ , điên điên điên ít có có nhân lý"
300,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín"
